Company,CIK
21ST CENTURY INSURANCE GROUP,0000100331
ACCEL INTERNATIONAL CORP,0000001985
ACCEPTANCE INSURANCE CO,0001056834
ACCEPTANCE INSURANCE COMPANIES INC,0000074783
AFC HOLDING CO,0000933537
AFFIRMATIVE INSURANCE HOLDINGS INC,0001282543
AICI CAPITAL TRUST,0001040514
AIG ANNUITY INSURANCE CO,0001249955
AIG LIQUIDITY CORP,0000889328
"ALCO, INC.",0000734543
ALFA CORP,0000743532
ALLCITY INSURANCE CO /NY/,0000003642
ALLEGHANY CORP /DE,0000775368
ALLIED GROUP INC,0000774624
ALLSTATE CORP,0000899051
ALLSTATE FINANCING I,0001026950
ALLSTATE FINANCING II,0001026952
ALLSTATE FINANCING III,0001026956
ALLSTATE FINANCING IV,0001026958
ALTERRA CAPITAL HOLDINGS Ltd,0001141719
AMCOMP INC /FL,0001009667
AMERICAN COASTAL INSURANCE Corp,0001401521
AMERICAN COUNTRY HOLDINGS INC,0000315411
AMERICAN FINANCIAL CAPITAL TRUST I,0001023285
AMERICAN FINANCIAL CAPITAL TRUST II,0001253168
AMERICAN FINANCIAL CAPITAL TRUST III,0001253160
AMERICAN FINANCIAL CAPITAL TRUST IV,0001253161
AMERICAN FINANCIAL CORP,0000005016
AMERICAN FINANCIAL ENTERPRISES INC /CT/,0000319157
AMERICAN FINANCIAL GROUP INC,0001042046
AMERICAN FINANCIAL GROUP INC                            /TA,0000944707
AMERICAN FINANCIAL GROUP INC ET AL,0000943523
"AMERICAN INTERNATIONAL GROUP, INC.",0000005272
AMERICAN PHYSICIANS SERVICE GROUP INC,0000724024
AMERICAN PREMIER UNDERWRITERS INC,0000077098
AMERICAN PREMIER UNDERWRITERS INC                       /TA,0000915553
AMERICAN RE CORP,0000889217
AMERICAN STATES FINANCIAL CORP,0001010787
AMERISAFE INC,0001018979
"AMERITRUST GROUP, INC.",0000949156
APA HOLDINGS INC,0000863393
ARCH CAPITAL GROUP LTD.,0000947484
ARGONAUT GROUP INC,0000800082
ARI HOLDINGS INC,0000792126
ASPEN INSURANCE HOLDINGS LTD,0001267395
ASSOCIATED BUSINESS & COMMERCE INSURANCE CORP,0000928775
ASSURANCEAMERICA CORP,0000008497
AVEMCO CORP,0000008802
AXIS CAPITAL HOLDINGS LTD,0001214816
AXIS Specialty Finance LLC,0001487427
AXIS Specialty Finance PLC,0001595089
"Allied World Assurance Co Holdings, GmbH",0001163348
Alterra Finance LLC,0001492309
"American Integrity Insurance Group, Inc.",0002007587
American Physicians Insurance CO,0001378026
"Amtrust Financial Services, Inc.",0001365555
Arch Capital Finance LLC,0001689265
Ategrity Specialty Insurance Co Holdings,0002040491
"Atlas Financial Holdings, Inc.",0001539894
BACKBERG BRUCE A,0001201693
BACON ZACK III,0001199151
BANCINSURANCE CORP,0000276400
BARBER JOHN R,0001199152
BARRETTE RAYMOND JOSEPH RENE,0001181360
BASSMAN BRUCE C,0001093279
BATEMAN WALTER R II,0001036828
BEAULIEU DENNIS PAUL,0001181386
BECK LOWELL R,0001036829
BEEKLEY ROGER J,0001036830
BENET JAY S,0001224073
BERKLEY W R CAPITAL TRUST,0001031918
BERKLEY W R CORP,0000011544
BERKSHIRE HATHAWAY FINANCE CORP,0001274791
BERKSHIRE HATHAWAY INC,0001067983
BESSETTE ANDY F,0001198918
BIALKIN KENNETH J,0001224066
BLUM RICHARD H,0001192696
BRADLEY THOMAS A,0001198917
BRINING W DAVE,0001199157
BRISTOL WEST HOLDINGS INC,0001272957
BROWN ROGER ALAN,0001036831
BROWN W THACHER,0001036832
BROWNE MICHAEL L,0001036833
BUB STEPHAN W,0001199153
BUCK G CLYDE,0001184595
BUZZELL ROBERT D,0001036834
BYRD CAROLYN H,0001201700
BYRNE JOHN JOSEPH,0001181359
BYRNE MARK JAMES,0001181361
BYRNE PATRICK MICHAEL,0001181362
Blue Capital Reinsurance Holdings Ltd.,0001582086
Bowhead Specialty Holdings Inc.,0002002473
CANADIAN GENERAL CAPITAL,0001007797
CAPITOL TRANSAMERICA CORP,0000017385
CAPSURE HOLDINGS CORP,0000073313
CAPSURE HOLDINGS INC,0000837906
CARROLL LOREN K,0001184597
CAVOORES JOHN PAUL,0001181384
CGU GROUP CANADA LTD,0001007798
CHANDLER INSURANCE CO LTD,0000792854
CHANDLER USA INC,0001083750
CHENG LAURENCE W,0001199155
CHOKEL CHARLES BERGEN,0001181385
CHUBB CAPITAL CORP,0000857052
CHUBB CORP,0000020171
CII FINANCIAL INC,0000844828
CINCINNATI FINANCIAL CORP,0000020286
CITIGROUP CAPITAL VI,0001039258
CITIGROUP CAPITAL VII,0001039259
CITIGROUP CAPITAL X,0001075167
CITIZENS SECURITY GROUP INC /MN/,0000802971
CLARK HOWARD LONGSTRETH JR,0001181363
CLIFFORD JOHN P JR,0001198913
CNA FINANCIAL CAPITAL I,0001075799
CNA FINANCIAL CAPITAL II,0001075806
CNA FINANCIAL CAPITAL III,0001075807
CNA FINANCIAL CORP,0000021175
COCHRAN ROBERT PHILLIPS,0001181364
COMMERCE GROUP INC /MA,0000811612
CONTINENTAL CORP,0000024011
COONEY ROBERT J,0001199156
CRUM & FORSTER HOLDINGS CORP,0001168338
CUMBERLAND TECHNOLOGIES INC,0000882087
CUMMINS MARK R,0001036835
Canopius Holdings Bermuda Ltd,0001555767
"CastlePoint Holdings, Ltd.",0001360537
Chubb Ltd,0000896159
Cobb David R,0001184598
"Conifer Holdings, Inc.",0001502292
DIRECT GENERAL CORP,0001023031
DONDANVILLE JOSEPH E,0001192702
DONEGAL GROUP INC,0000800457
DORMAN MARGARET K,0001184601
Darwin Professional Underwriters Inc,0001355795
ELLIOT DOUGLAS G,0001224074
EMC INSURANCE GROUP INC,0000356130
ENDURANCE SPECIALTY HOLDINGS LTD,0001179755
ESTES GEORGE L III,0001198962
ETTINGER IRWIN,0001224075
"EVEREST GROUP, LTD.",0001095073
EVEREST RE CAPITAL TRUST,0001095072
EVEREST RE CAPITAL TRUST II,0001248384
EVEREST REINSURANCE HOLDINGS INC,0000914748
"Eastern Insurance Holdings, Inc.",0001321268
"Employers Holdings, Inc.",0001379041
Enstar Group LTD,0001363829
FAI INSURANCES LTD,0000771810
FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,0000915191
FARM FAMILY HOLDINGS INC,0001013564
FARM FAMILY MUTUAL INSURANCE CO,0000277269
FARMERS GROUP CAPITAL,0000948220
FARMERS GROUP CAPITAL II,0001002402
FARMERS GROUP INC,0000034587
FASS STEVEN ELLIOT,0001181365
FINANCIAL INSTITUTIONS INSURANCE GROUP LTD,0000805647
FINANCIAL PACIFIC INSURANCE GROUP INC,0001059803
FIRST ACCEPTANCE CORP /DE/,0001017907
FIRST CENTRAL FINANCIAL CORP,0000759441
FIRST MERCURY FINANCIAL CORP,0000929186
FISHMAN JAY S,0001201696
FOREMOST CORP OF AMERICA,0000018508
FORTUNE FINANCIAL INC,0000067199
FOX MURIEL,0001036836
FPIC INSURANCE GROUP INC,0001010247
FREMONT MICHIGAN INSURACORP INC,0001271245
FUND AMERICAN ENTERPRISES INC,0000898493
FedNat Holding Co,0001069996
Fidelis Insurance Holdings Ltd,0001636639
"Flagstone Reinsurance Holdings, S.A.",0001347815
"Forge Group, Inc.",0001846702
"Fortegra Group, Inc",0001841612
GAGNON LAURA C,0001198926
GAINSCO INC,0000786344
GEICO CORP,0000277795
GENERAL RE CORP,0000317745
GENERAL REINSURANCE CORP,0000040799
"GEOVERA INSURANCE HOLDINGS, LTD.",0001393941
GILLESPIE GEORGE JOSEPH III,0001181368
GILLESPIE JOHN DAVIES,0001181372
GORAN CAPITAL INC,0000925600
GRAEV LAWRENCE G,0001198924
"GREENLIGHT CAPITAL RE, LTD.",0001385613
GRYPHON HOLDINGS INC,0000912558
GUARANTY NATIONAL CORP,0000044358
"Global Indemnity Group, LLC",0001494904
"HANOVER INSURANCE CO, THE",0000045403
"HANOVER INSURANCE GROUP, INC.",0000944695
HARLEYSVILLE GROUP INC,0000792013
HARLEYSVILLE MUTUAL INSURANCE CO /PA,0001093280
"HARTFORD INSURANCE GROUP, INC.",0000874766
HARTFORD STEAM BOILER INSPECTION & INSURANCE CO,0000310823
HCC CAPITAL TRUST I,0001124211
HCC CAPITAL TRUST II,0001124212
HCC INSURANCE HOLDINGS INC/DE/,0000888919
"HCI Group, Inc.",0001400810
HENSEY CAMILLE J,0001192703
HEYMAN WILLIAM H,0001198930
HIGGINS PETER N,0001224077
HIGHLANDS INSURANCE GROUP INC,0001002816
HODGSON THOMAS R,0001198923
HOME HOLDINGS INC,0000875090
HOME STATE HOLDINGS INC,0000906524
HORACE MANN EDUCATORS CORP /DE/,0000850141
HSB GROUP INC,0001034588
HYLAND DENNIS M,0001069523
HYNES KEITH S,0001199162
"Hamilton Insurance Group, Ltd.",0001593275
"Heritage Insurance Holdings, Inc.",0001598665
Hippo Holdings Inc.,0001828105
Homeowners of America Holding Corp,0001346922
"ICC Holdings, Inc.",0001681903
INFINITY PROPERTY & CASUALTY CORP,0001195933
INSURANCE MANAGEMENT SOLUTIONS GROUP INC,0001063167
INTEGON CORP /DE/,0000878660
INTERCARGO CORP,0000815787
Insurance Income Strategies Ltd.,0001716006
Ironshore Inc.,0001386965
"JAMES RIVER GROUP, INC",0001325177
JOHN DAVID G SIR,0001201695
"James River Group Holdings, Ltd.",0001620459
KEANE WILLIAM R,0001192698
KEENAN JOHN J,0001036838
KEMP KARL THOMAS,0001181374
KEMPER Corp,0000860748
KENNEDY JOHN J,0001184602
KENTUCKY MEDICAL INSURANCE CO,0000840163
KING WILLIS JR,0001199159
"KINGSTONE COMPANIES, INC.",0000033992
KINGSWAY AMERICA INC,0001072625
KINGSWAY FINANCIAL SERVICES INC,0001072627
KRUSE PHILIP R,0001199163
Kestrel Group Ltd,0002055116
"Kinsale Capital Group, Inc.",0001669162
LACHER JOSEPH P JR,0001224079
LAMENDOLA ROBERT J,0001198949
LASALLE RE HOLDINGS LTD,0001001384
LENROW GERALD I,0001192700
LMI HOLDINGS INC,0001432234
LOEWS CORP,0000060086
"Lemonade, Inc.",0001691421
Liberty Mutual Agency Corp,0001491041
MACCOLL JOHN A,0001198922
MACLEAN BRIAN W,0001224080
MAG Mutual Insurance Co.,0001711208
MAGEE BRUCE J,0001036839
"MAIDEN HOLDINGS NORTH AMERICA, LTD.",0001512303
MARCUM JOSEPH L,0001044772
MARION JOHN,0001199164
MARKEL CORP/VA,0000803509
MARKEL GROUP INC.,0001096343
MCM CORP,0000275710
MCMENAMIN JOSEPH E,0001087780
MEDICAL ASSURANCE INC,0000944492
MEEMIC HOLDINGS INC,0001072815
MERCER INSURANCE GROUP INC,0001050690
MERCHANTS GROUP INC,0000803027
MERCURY GENERAL CORP,0000064996
MERIDIAN INSURANCE GROUP INC,0000809801
MICHAEL JONATHAN E,0001192701
MICHENER JAMES M,0001224081
MID OCEAN LTD,0000906247
MIDLAND CO,0000066025
MIDLAND FINANCIAL GROUP INC,0000879522
MIDWEST MEDICAL INSURANCE HOLDING CO,0000894353
MILLER T MICHAEL,0001201697
MILLERS MUTUAL FIRE INSURANCE CO,0001035978
MILWAUKEE INSURANCE GROUP INC,0000801321
MINTON PETER A,0001199165
MITSUI SUMITOMO INSURANCE CO LTD,0001142206
MONTPELIER RE HOLDINGS LTD,0001165880
MORRISON STEWART R,0001224082
MRM CAPITAL TRUST I,0001105510
MRM CAPITAL TRUST II,0001105511
MRM CAPITAL TRUST III,0001105512
"MS&AD Insurance Group Holdings, Inc.",0001431048
MUTUAL GROUP LTD,0001105509
MUTUAL RISK MANAGEMENT LTD,0000826918
"Maiden Holdings, Ltd.",0001412100
"Majestic Capital, Ltd.",0001338949
"Metromile, LLC",0001819035
"Motors Mechanical Reinsurance Company, Ltd",0000790381
NAC RE CORP,0000775542
NATIONAL ATLANTIC HOLDINGS CORP,0000946492
NATIONAL RE CORP,0000858473
NAVIGATORS GROUP INC,0000793547
NCRIC GROUP INC,0001075343
NCRIC HOLDINGS INC,0001092893
NEBEL MARY BETH,0001192704
NEELY JERRY W,0001184603
NELSON GLEN D,0001198920
NEW YORK MARINE & GENERAL INSURANCE Co,0000737049
"NI Holdings, Inc.",0001681206
NOBEL INSURANCE LTD,0000354392
NORTH EAST INSURANCE CO,0000352162
NORTH POINTE HOLDINGS CORP,0001171218
National General Holdings Corp.,0001578735
National Interstate CORP,0001301106
"North American Insurance Leaders, Inc.",0001336249
OBH LLC,0000109694
ODYSSEY RE HOLDINGS CORP,0001137048
OHIO CASUALTY CORP,0000073952
OLD GUARD GROUP INC,0001022794
OLIVO MARIA,0001224083
OLSON FRANK ALBERT,0001181380
OMNI INSURANCE GROUP INC,0000906786
OVERMAN EDWIN S,0001036840
OXBRIDGE RE HOLDINGS Ltd,0001584831
Omnichannel Acquisition Corp.,0001827669
"OneBeacon Insurance Group, Ltd.",0001369817
"OneBeacon U.S. Holdings, Inc.",0001162000
PALMER JESS BRIAN,0001181387
"PATRIOT RISK MANAGEMENT, INC.",0001423593
PEERLESS INSURANCE CO,0000076951
PEMBRIDGE INC,0000939927
PENN MILLERS HOLDING CORP,0001453820
PHILADELPHIA CONSOLIDATED HOLDING CORP,0000909109
PICO HOLDINGS INC,0000943893
PLATINUM UNDERWRITERS FINANCE INC,0001183236
PLATINUM UNDERWRITERS HOLDINGS LTD,0001171500
PMA CAPITAL CORP,0001041665
"POSITIVE PHYSICIANS HOLDINGS, INC.",0001752039
PRESERVER GROUP INC,0000068480
PRINCIPAL FINANCIAL SERVICES INC,0001094589
PROASSURANCE CORP,0001127703
PROCENTURY CORP,0001273397
PROFESSIONALS GROUP INC,0001011736
PROGRESSIVE CORP/OH/,0000080661
PXRE CAPITAL TRUST I,0001037302
PXRE CORP,0000799721
"Palomar Holdings, Inc.",0001761312
"Pie Group Holdings, Inc.",0001724643
Premier Indemnity Holding CO,0001354549
"ProSight Global, Inc.",0001634038
Protective Insurance Corp,0000009346
QUANTA CAPITAL HOLDINGS LTD,0001264242
RATZ E WAYNE,0001042070
RE CAPITAL CORP /DE/,0000074347
REED FRANK E,0001036841
RELIANCE GROUP HOLDINGS INC,0000356395
RELIANCE INSURANCE CO,0000083053
RENAISSANCERE CAPITAL TRUST,0001037714
RENAISSANCERE HOLDINGS LTD,0000913144
RISCORP INC,0001003957
RITCHIE JAMES JOSEPH,0001181389
RLI CORP,0000084246
ROCK DOUGLAS L,0001184606
RODEN THOMAS E,0001036842
ROMAN SPENCER M,0001036843
ROSEMAN NANCY A,0001224069
ROSENBLOOM JERRY S,0001036845
ROYAL & SUN ALLIANCE INSURANCE PLC,0001126317
RSA Insurance Group plc,0001126313
RTW INC /MN/,0000915781
RUSSELL DOUGLAS K,0001224084
RenRe North America Holdings Inc.,0001402177
RenaissanceRe Finance Inc.,0001402002
"Republic Companies Group, Inc.",0001320092
"Root, Inc.",0001788882
"SAFE AUTO INSURANCE GROUP, INC.",0001307895
SAFECO CORP,0000086104
SAFETY INSURANCE GROUP INC,0001172052
SAI DEFERRED COMPENSATION HOLDINGS INC,0001077584
SCOR HOLDING (SWITZERLAND) LTD,0001162586
SCOR US CORP,0000798363
SCRANTON WILLIAM W III,0001087781
SEIBELS BRUCE GROUP INC,0000276380
SELECTIVE INSURANCE GROUP INC,0000230557
SIMPSON ALAN,0001184608
SIMPSON ROBERT JR,0001036844
SKALA STEVEN M,0001199166
"SOMPO HOLDINGS, INC.",0001458205
SPHERE DRAKE HOLDINGS LTD,0000908520
SPRINGER EARL M,0001184609
SSSUPERIOR PAACIFIC HOLDING CORP,0000837942
STONE MICHAEL J,0001192707
STONEVILLE INSURANCE CO,0001036506
STRASBURG WILLIAM E,0001036846
STRATEGY INTERNATIONAL INSURANCE GROUP INC,0001249869
STRAUSS CATHERINE B,0001069524
SUPERIOR NATIONAL INSURANCE GROUP INC,0000810463
SUTTON NEAL S,0001184611
SYMONS INTERNATIONAL GROUP INC,0001013698
"SeaBright Holdings, Inc.",0001267201
"Sirius International Insurance Group, Ltd.",0001744894
SiriusPoint Ltd,0001576018
"Skyward Specialty Insurance Group, Inc.",0001519449
"Slide Insurance Holdings, Inc.",0001886428
"Specialty Underwriters Alliance, Inc.",0001297568
State Auto Financial CORP,0000874977
"State National Companies, Inc.",0001610793
TASCO FRANK J,0001224070
TENERE GROUP INC,0000922887
TERRA NOVA BERMUDA HOLDING LTD,0000935937
TERRA NOVA INSURANCE UK HOLDINGS PLC,0000946674
THOMSEN LAURIE J,0001224071
TIG Finco plc,0001633027
TIG HOLDINGS INC,0000897430
TIG Midco Ltd,0001633030
TIPTREE INC.,0001393726
"TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD",0000098561
"TOKIO MARINE HOLDINGS, INC.",0001169486
TORSIELLO MARIO,0001199167
TRANSATLANTIC HOLDINGS INC,0000862510
TRAVELERS CAPITAL I,0001024417
TRAVELERS CAPITAL II,0001024418
"TRAVELERS COMPANIES, INC.",0000086312
TRAVELERS CORP,0000099429
TRAVELERS INDEMNITY CO,0000937875
TRAVELERS INSURANCE GROUP HOLDINGS INC,0001010551
TRAVELERS PROPERTY CASUALTY CORP,0000919482
TREACY JOHN C,0001198951
TRENWICK AMERICA CORP,0001127783
TRENWICK CAPITAL TRUST I,0001040591
TRENWICK GROUP INC,0000787952
TRENWICK GROUP LTD,0001122211
Till Capital Ltd.,0001625584
"Tower Group International, Ltd.",0001289592
Travelers Capital Trust II,0001162398
"Trean Insurance Group, Inc.",0001801754
"TypTap Insurance Group, Inc.",0001873951
UNICO AMERICAN CORP,0000100716
UNIONAMERICA HOLDINGS PLC,0001003388
"UNITED AMERICA INDEMNITY, LTD",0001263813
UNITED FIRE GROUP INC,0000101199
"UNIVERSAL INSURANCE HOLDINGS, INC.",0000891166
URNESS KENT D,0001198954
US CAPITAL GROUP INC,0000807906
USF&G CORP,0000354396
"United Fire Group, Inc.",0001521471
VALIDUS HOLDINGS LTD,0001348259
VESTA INSURANCE GROUP INC,0000911576
VIETS ROBERT O,0001192708
WALSHIRE ASSURANCE COMPANY,0000818155
WARWICK INSURANCE MANAGERS INC,0000710849
WERNER RICHARD A,0001184612
WESTERN INSURANCE HOLDINGS INC,0000877539
WHITE MOUNTAINS INSURANCE GROUP LTD,0000776867
WHITING ROBERT C,0001073233
WHITLOCK ROBERT G JR,0001036847
WILDE GERALDINE D,0001184613
WORLD SERVICES INC,0000767410
Watford Holdings Ltd.,0001601669
XL GROUP LTD,0000875159
XLIT Ltd.,0001523700
XTRA FINANCE CORP,0001401717
YESSMAN TIMOTHY M,0001198957
ZENITH NATIONAL INSURANCE CORP,0000109261
ZURAITIS MARITA,0001198960
ZURICH REINSURANCE CENTRE HOLDINGS INC,0000898612
